notebook_path,relative_notebook_path,cell_number_1_based,cell_index_0_based,finding_type,severity,function_names,evidence,recommended_action
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_LearningRate_BatchSize_Trial.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_LearningRate_BatchSize_Trial.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json; save_json; normalise_handoff_config; first_existing_results_path; rebuild_selected_config_from_results; ensure_selected_config_from_results; load_class_weights,9 function definitions appear early at cell 6/12; heading=## 2. Load Cache and Architecture Config; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions;...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_LearningRate_BatchSize_Trial.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_LearningRate_BatchSize_Trial.ipynb,8,7,early_dense_function_block,medium,normalise_config; config_json; config_key; seed_from_config; set_global_seed; make_optimizer; build_mlp_model; train_and_evaluate_config; flat_result; select_best,10 function definitions appear early at cell 8/12; heading=## 3. Keras Utilities; stage=configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=6; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Optimizer_Trial.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Optimizer_Trial.ipynb,,,notebook_parse_error,medium,,Working-tree notebook could not be parsed as JSON; size=98404 bytes; error=JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),"Restore or replace this notebook before relying on it. If it is a placeholder, remove it from the submitted codebase or replace it with a valid notebook."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Random_Search.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Random_Search.ipynb,,,notebook_parse_error,medium,,Working-tree notebook could not be parsed as JSON; size=196682 bytes; error=JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),"Restore or replace this notebook before relying on it. If it is a placeholder, remove it from the submitted codebase or replace it with a valid notebook."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Regression\Logistic_Regression\Log_Regression_Baseline.ipynb,Training/Model Variants/Regression/Logistic_Regression/Log_Regression_Baseline.ipynb,,,large_notebook_diff_without_clear_function_move,medium,,"Git diff is large (3248 insertions, 1 deletions), but exact function movement was not detected by source/name matching.","Review with notebook diff tooling. Large JSON diffs can hide cell reorder, metadata churn, or output changes."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Regression\Logistic_Regression\Log_Regression_Final_Selected_Model.ipynb,Training/Model Variants/Regression/Logistic_Regression/Log_Regression_Final_Selected_Model.ipynb,,,large_notebook_diff_without_clear_function_move,medium,,"Git diff is large (3241 insertions, 1 deletions), but exact function movement was not detected by source/name matching.","Review with notebook diff tooling. Large JSON diffs can hide cell reorder, metadata churn, or output changes."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_C_Trial.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_C_Trial.ipynb,,,large_notebook_diff_without_clear_function_move,medium,,"Git diff is large (851 insertions, 1 deletions), but exact function movement was not detected by source/name matching.","Review with notebook diff tooling. Large JSON diffs can hide cell reorder, metadata churn, or output changes."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_C_Trial.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_C_Trial.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json,3 function definitions appear early at cell 6/14; heading=## 2. Load Shared SVM Cache; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first datase...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Class_Weight_Trial.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Class_Weight_Trial.ipynb,,,large_notebook_diff_without_clear_function_move,medium,,"Git diff is large (803 insertions, 1 deletions), but exact function movement was not detected by source/name matching.","Review with notebook diff tooling. Large JSON diffs can hide cell reorder, metadata churn, or output changes."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Class_Weight_Trial.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Class_Weight_Trial.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json,3 function definitions appear early at cell 6/14; heading=## 2. Load Shared SVM Cache; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first datase...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Final_Selected_Model.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Final_Selected_Model.ipynb,,,large_notebook_diff_without_clear_function_move,medium,,"Git diff is large (1004 insertions, 1 deletions), but exact function movement was not detected by source/name matching.","Review with notebook diff tooling. Large JSON diffs can hide cell reorder, metadata churn, or output changes."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Final_Selected_Model.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Final_Selected_Model.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json,3 function definitions appear early at cell 6/18; heading=## 2. Load Shared SVM Cache; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first datase...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Gamma_Trial.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Gamma_Trial.ipynb,,,large_notebook_diff_without_clear_function_move,medium,,"Git diff is large (883 insertions, 1 deletions), but exact function movement was not detected by source/name matching.","Review with notebook diff tooling. Large JSON diffs can hide cell reorder, metadata churn, or output changes."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Gamma_Trial.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Gamma_Trial.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json,3 function definitions appear early at cell 6/14; heading=## 2. Load Shared SVM Cache; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first datase...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Kernel_Trial.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Kernel_Trial.ipynb,,,large_notebook_diff_without_clear_function_move,medium,,"Git diff is large (835 insertions, 1 deletions), but exact function movement was not detected by source/name matching.","Review with notebook diff tooling. Large JSON diffs can hide cell reorder, metadata churn, or output changes."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Kernel_Trial.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Kernel_Trial.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json,3 function definitions appear early at cell 6/14; heading=## 2. Load Shared SVM Cache; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first datase...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
