notebook_path,relative_notebook_path,function_name,cell_number_1_based,cell_index_0_based,position_ratio,line_in_cell,preceding_heading,cell_stage,cell_line_count,first_use_cell_after_def_1_based,cell_gap_to_first_use,call_count_excluding_def_lines,modified_vs_head_before_audit
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Data_Preparation.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Data_Preparation.ipynb,scan_audio_files,8,7,0.6364,27,## 3. Corrected Metadata Scanner,dataset loading; feature preparation; outputs/saving; function definitions,54,10,2,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Data_Preparation.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Data_Preparation.ipynb,audio_info,10,9,0.8182,2,## 4. Audit and Frozen Split,configuration/paths; dataset loading; training; outputs/saving; function definitions,63,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Data_Preparation.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Data_Preparation.ipynb,split_config_matches,10,9,0.8182,10,## 4. Audit and Frozen Split,configuration/paths; dataset loading; training; outputs/saving; function definitions,63,,,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Data_Preparation.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Data_Preparation.ipynb,build_feature_memmap,12,11,1.0,28,"## 5. One MFCC Cache, Scaler and Class Weights",configuration/paths; dataset loading; feature preparation; training; outputs/saving; function definitions,112,,,3,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Data_Preparation.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Data_Preparation.ipynb,extract_mfcc_map,12,11,1.0,13,"## 5. One MFCC Cache, Scaler and Class Weights",configuration/paths; dataset loading; feature preparation; training; outputs/saving; function definitions,112,,,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Data_Preparation.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Data_Preparation.ipynb,load_audio_fixed,12,11,1.0,2,"## 5. One MFCC Cache, Scaler and Class Weights",configuration/paths; dataset loading; feature preparation; training; outputs/saving; function definitions,112,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Data_Preparation.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Data_Preparation.ipynb,normalise_memmap_in_place,12,11,1.0,59,"## 5. One MFCC Cache, Scaler and Class Weights",configuration/paths; dataset loading; feature preparation; training; outputs/saving; function definitions,112,,,3,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,ensure_selected_config_from_results,6,5,0.4545,148,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,first_existing_results_path,6,5,0.4545,107,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,,,0,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,load_class_weights,6,5,0.4545,163,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,load_json,6,5,0.4545,75,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,12,6,5,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,normalise_handoff_config,6,5,0.4545,89,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,rebuild_selected_config_from_results,6,5,0.4545,117,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,12,6,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,require_file,6,5,0.4545,67,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,,,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,resolve_project_root,6,5,0.4545,34,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,save_json,6,5,0.4545,81,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,8,2,3,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,_controlled_candidate_label,8,7,0.6364,164,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,4,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,build_cnn_model,8,7,0.6364,51,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,config_json,8,7,0.6364,18,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,3,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,config_key,8,7,0.6364,23,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,flat_result,8,7,0.6364,128,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,make_optimizer,8,7,0.6364,39,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,normalise_config,8,7,0.6364,2,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,10,2,7,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,run_controlled_trial,8,7,0.6364,171,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,12,4,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,seed_from_config,8,7,0.6364,27,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,select_best,8,7,0.6364,160,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,set_global_seed,8,7,0.6364,32,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,train_and_evaluate_config,8,7,0.6364,79,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,ensure_selected_config_from_results,6,5,0.4545,148,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,first_existing_results_path,6,5,0.4545,107,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,12,6,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,load_class_weights,6,5,0.4545,163,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,load_json,6,5,0.4545,75,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,12,6,5,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,normalise_handoff_config,6,5,0.4545,89,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,rebuild_selected_config_from_results,6,5,0.4545,117,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,12,6,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,require_file,6,5,0.4545,67,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,,,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,resolve_project_root,6,5,0.4545,34,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,save_json,6,5,0.4545,81,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,8,2,3,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,_controlled_candidate_label,8,7,0.6364,164,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,4,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,build_cnn_model,8,7,0.6364,51,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,config_json,8,7,0.6364,18,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,3,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,config_key,8,7,0.6364,23,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,flat_result,8,7,0.6364,128,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,make_optimizer,8,7,0.6364,39,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,normalise_config,8,7,0.6364,2,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,10,2,7,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,run_controlled_trial,8,7,0.6364,171,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,12,4,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,seed_from_config,8,7,0.6364,27,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,select_best,8,7,0.6364,160,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,set_global_seed,8,7,0.6364,32,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,train_and_evaluate_config,8,7,0.6364,79,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,ensure_selected_config_from_results,6,5,0.4545,148,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,first_existing_results_path,6,5,0.4545,107,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,12,6,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,load_class_weights,6,5,0.4545,163,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,load_json,6,5,0.4545,75,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,12,6,5,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,normalise_handoff_config,6,5,0.4545,89,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,rebuild_selected_config_from_results,6,5,0.4545,117,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,12,6,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,require_file,6,5,0.4545,67,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,,,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,resolve_project_root,6,5,0.4545,34,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,save_json,6,5,0.4545,81,## 2. Load Cache and Previous Config,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,204,8,2,3,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,_controlled_candidate_label,8,7,0.6364,164,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,4,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,build_cnn_model,8,7,0.6364,51,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,config_json,8,7,0.6364,18,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,3,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,config_key,8,7,0.6364,23,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,flat_result,8,7,0.6364,128,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,make_optimizer,8,7,0.6364,39,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,normalise_config,8,7,0.6364,2,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,10,2,7,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,run_controlled_trial,8,7,0.6364,171,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,12,4,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,seed_from_config,8,7,0.6364,27,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,select_best,8,7,0.6364,160,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,set_global_seed,8,7,0.6364,32,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,train_and_evaluate_config,8,7,0.6364,79,## 3. Keras Utilities,configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,244,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Final_Selected_Model.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Final_Selected_Model.ipynb,load_class_weights,6,5,0.5556,87,## 2. Load Selected Hyperparameters and Test Cache,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,137,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Final_Selected_Model.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Final_Selected_Model.ipynb,load_json,6,5,0.5556,75,## 2. Load Selected Hyperparameters and Test Cache,imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions,137,,,3,False
